Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,75.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teaching, Technology,""Analytic Thinking, Logical Skills, C++, Writing"",71.25,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Mathematics,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Active Listening;Negotiation skills,71.25,Tidak,Tidak,Ya,Data Entry,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Teknologi,""Java, SQL, Programming"",76.0,Tidak,Tidak,Tidak,Student (Unemployed),Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Software Job,stack web development,78.85,Ya,stack web development,Ya,Associate software engineer,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;"SQL,73.53,Ya,""IBM machine Learning, Full Stack Development, AMCAT corporate communications"",Ya,Data Scientist-Intern,PGDM in Data Science,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,Ya,Power BI,Ya,Data Analyst ,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,85.69,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Administrasi Bisnis,Administrasi Bisnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,72.0,Tidak,Tidak,Ya,Regional Sales Manager,Masters in Business Administration,MBA,Sales and Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Product Life cycle Management,,""Agile Methodologies";Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
",72.675,Ya,Digital Marketing,Ya,Product Manager,Tidak,Sarjana Teknik Sipil,Teknik Sipil
Teknologi,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;"Industrial Control"",79.8,Ya,Simulation and analysis of control algorithms for IGBT converters/inverters,Ya,Engineer-Power Electronics,Masters in Power Electronics & Power Systems,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;"SQL,78.0,Ya,""C++, c sharp, fundamentals of project management"",Ya,Publishing executive,Master in computer science,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71.0,Tidak,Tidak,Ya,Senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,85.0,Ya,Tidak,Ya,Techno commercial,Master in marketing management,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,68.495,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,61.4,Tidak,Tidak,Ya,Advocate ,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Sales/Marketing, Technology, Entrepreneurship,""Analytic Thinking, Product Knowledge, Team work, Logical Skills"",68.4,Tidak,Tidak,Ya,Sales Executive,Tidak,B.Tech,Criminal manual";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Supply Chain Analysis;Govt. Job,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;Social Media Marketing;Presentation Skills;Hospitality;HR;Client management,72.675,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52.0,Tidak,Tidak,Ya,Electrician,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,Tidak,Tidak,Tidak,Assistant Professor,M.Tech-Heat Power Engineering and PhD-Mechanical Engineering ,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,Ya,PMP,Ya,Project Manager,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,Ya,Data science using python and R programming ,Ya,Mechanical design engineer ,Master in Design (Mechanical)&professional Data science ,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trading,Web Designing,Content Writing,Web development,Social media marketing,C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,80.37,Ya,C++,Ya,System Engineer,Masters in Computer Science ,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Accounting Skills,91.2,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Accounting,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Active Listening, Python, Gathering Informing, Programming"",88.35,Ya,Organic farming,Ya,Mechanical Engineer,Masters in Science,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel,Accounting Skills";Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,67.0,Ya,Company Secretary,Ya,CS,Tidak,Law Hons,Agriculture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Data Analytics,""JavaScript,Python"",73.15,Ya,""JavaScript,Python"",Ya,Software Developer,Tidak,Sarjana Hukum,Hukum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research,Subject Knowledge,52.25,Ya,PGDCA,Tidak,Not Applicable,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Analytics,Javascript,65.55,Ya,Javascript,Ya,Associate Software Engineer,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Python,70.3,Tidak,Tidak,Tidak,Student (Unemployed),Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Information Technology ,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;"Cloud Computing,71.25,Tidak,Tidak,Ya,Software Engineer,""Yes, Master's in IT, specialisation in networking and cyber security "",Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;"Indirect Taxation"",67.45,Ya,Companies Act";"Indirect Taxation,Ya,Company Secretary,""Company Secretary Professional(";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(The Institute of Company Secretaries of India)"",Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Technology;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Design;Machine Learning;Navy Defence related;Oil and Gas,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,80.275,Ya,Professional Certification Program - Data Science and AI ,Ya,Operation & Maintenance Engineer ,Tidak,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Financial Modeling;Financial Analysis;,84.55,Ya,Financial Modelling,Ya,Financial Analyst,Tidak,BBA,Electrical Machines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research,Understand human body,BioTechnology,""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microbiology; cell culture ;molecular Biology; bioprocess;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Katte virus"",83.22,Ya,""Antimicrobial Resistance - Theory and Methods ";  Cancer Metastasis; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fundamentals of Immunology: T Cells and Signaling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fundamentals of Immunology: Innate Immunity and B-Cell Function;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drug Discovery;"Drug Delivery Principles and Engineering "",Ya,Research Associate,Tidak,B.Tech,Finance";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Data Analytics,""Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting"",88.16,Ya,Six Sigma Principles ,Ya,Data Analyst,Tidak,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Information Technology,Cloud Computing,47.0,Ya,Azure,Ya,Trainee Developer,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Accounting Skills,76.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Accounting,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teknologi,Gathering Informing,73.15,Ya,Tidak,Tidak,Student (Unemployed),Tidak,B.Tech,Data Structures & Algorithm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Technology, Entrepreneurship, Understand Human Body,""Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge"",87.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Biotechnology,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Entrepreneurship,""Accounting Skills, Cost Accounting, Excel, Writing"",67.45,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Accounting,Sarjana Perdagangan,Perdagangan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Take risk for Profits,Accounting Skills,77.0,Ya,Ya,Tidak,Business Analyst,Masters in Accounting,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing,""Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales"",0.0,Tidak,Tidak,Ya,Sr. Territory sales manager ,Tidak,Sarjana Administrasi Bisnis,Administrasi Bisnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Machine Learning,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,84.55,Ya,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,Ya,Full Stack Developer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice;Social causes,Civil & Criminal Law,74.1,Ya,Certified Fraud Examiner (CFE),Ya,Lawyer-Forensic Investigations,Tidak,Sarjana Hukum,Hukum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Understand human body;Data analytics;Data scientist,Programming Language skills;Artistic/Creative Skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python,72.0,Ya,Certification course in data science by CareerEX,Tidak,Not Applicable,Tidak,Sarjana Sains,Sains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,53.0,Tidak,Tidak,Ya,Assistent Manger,Assistent Manger,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Understand Human Behaviour, Understand Human Body,""Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills"",83.0,Tidak,Tidak,Tidak,Student (Unemployed),Masters in Computer Applications,Sarjana Ilmu Komputer,Ilmu Komputer";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data analytics,Data Visualization skills( Power Bi/ Tableau );R;Python;SQL;MATLAB,80.0,Ya,Data science and tableau certification,Tidak,Not Applicable,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Social Justice,Civil & Criminal Law,73.0,Tidak,Tidak,Ya,litigation,Tidak,Law Hons,constitution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Construction;"Construction Manegement,""Proeficiency in Software like STAAD PRO, ETABS"",83.41,Ya,STAAD-Pro,Ya,Civil & Structural Engineer,Tidak,Sarjana Teknik Sipil,Teknik Sipil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Data analytics;Web development;Information Technology,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Programming Language C,85.5,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Seni,Kesenian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Technology;Data analytics;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;C++;Java,69.0,Ya,Machine learning,Tidak,Not Applicable,Masters In computer application ,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Technology, Understand Human Body,""Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills"",83.6,Tidak,Tidak,Ya,Student (Unemployed),Masters in Science,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sales/Marketing, Take risk for Profits, Teaching, Entrepreneurship,""ML, SQL, Leadership, Writing, Tableau"",60.8,Ya,Data science,Tidak,Student (Unemployed),Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Data analytics,Active Listening;Programming Language skills;Communication skills;Machine Learning skills;Python,67.0,Ya,Data Science using Python and R Programming Languages,Tidak,Not Applicable,Masters in Science,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Understand human behaviour,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;"SQL,55.0,Ya,""Tally ERP9, SAP"",Tidak,Not Applicable,Tidak,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Social Justice;Teaching;Technology;Trading;Govt. Job;Data scientist;Social causes,Accounting Skills;Hardware skills;Critical Thinking;Business Knowledge;Finance related skills;Civil & Criminal Law;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL;Good communication skills;"Teaching,55.0,Ya,""Tally ERP9, SAP"",Tidak,Not Applicable,Tidak,Sarjana Akuntansi,Akuntansi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Research, Trading, Understand Human Behaviour,""AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills"",70.0,Ya,Data Science and Artificial Intelligence programe,Ya,Scientist,Masters in Science,Sarjana Sains,Sains";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Financial Analysis, Research, Sales/Marketing, Trading, Entrepreneurship,""Active Listening, Leadership, Market Study, Team work, Mass Communication, Writing, Reading, Sales"",68.4,Ya,Master in diploma.. In designing Cadd ,Ya,Mechanical Engineer,Tidak,Sarjana Administrasi Bisnis,Administrasi Bisnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales/Marketing,Sales,60.0,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Sales/Marketing;Social causes;Construction;Construction Manegement,Finance related skills;People management;Communication skills;Leadership;Sales;Social Media Marketing,67.0,Tidak,Tidak,Ya,Business,Tidak,Sarjana Perdagangan,Perdagangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Sales/Marketing;Technology;Trading;Supply Chain Analysis;Data analytics;Data scientist;Market reserach;Service;All fields related to Data science.;Industires;Design;SAP Consultant in MM;Product Life cycle Management,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;People management;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;AWS,63.08,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Teknik Mesin,Teknik Mesin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Programming Language skills;Analytical Skills;C++;Linux;SQL;Java;Cloud Computing,66.5,Ya,DIPLOMA IN ADVANCED COMPUTING (CDAC),Ya,Software Engineer ,Tidak,B.Tech,Electronics & Telecom.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;All fields related to Data science.;"Design,""Analytical Skills";Python;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;"Teaching"",78.28,Ya,""DIPLOMA IN BUILDING DESIGN,PRIMAVERA,MX ROAD"",Tidak,Not Applicable,TRANSPORTATION ENGINEERING,Sarjana Teknik Sipil,Teknik Sipil";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industires,Active Listening,62.985,Tidak,Tidak,Ya,Supply Chain,Tidak,Sarjana Teknik,Teknik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trading;Data analytics;Data scientist;All fields related to Data science.,Active Listening;People management;Leadership;Cloud Computing,59.0,Ya,Diploma in cloud computing,Ya,Associate IT consultant,Tidak,Sarjana Jurnalisme,Jurnalisme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Information Technology;Sports Industry;Salesforce Admin,Hardware skills;Leadership;Designing skills,64.0,Tidak,Tidak,Ya,Buliding management system ,Tidak,Sarjana Seni,Kesenian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Web Designing;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Communication skills;Java;Cloud Computing,66.5,Ya,Tidak,Ya,Sales force ,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Technology;Understand human body,Active Listening;Gathering Information;Analytical Skills;Leadership;Machine Learning skills;Interpersonal skills;Medical knowledge,66.88,Tidak,Tidak,Ya,Deputy warden,Tidak,BE,Thermal engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Software developer,""AI, ML, Python, Analytic Thinking, SQL, Programming, C++"",66.5,Ya,Data science ,Tidak,Student (Unemployed),Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Design,Gathering Information;Finance related skills;Civil & Criminal Law,66.0,Tidak,Tidak,Ya,Teacher,Tidak,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mengajar,""Active Listening,Work under Pressure,Team work,Presentation skills,Reading"",65.55,Tidak,Tidak,Ya,Teaching,M.Tech,Sarjana Jurnalisme,Jurnalisme";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
